Id,Category
0,5
1,5
2,8
3,8
4,0
5,3
6,9
7,4
8,3
9,5
10,9
11,9
12,6
13,2
14,8
15,8
16,9
17,1
18,3
19,5
20,2
21,5
22,5
23,3
24,2
25,4
26,5
27,3
28,5
29,0
30,6
31,2
32,7
33,4
34,1
35,9
36,5
37,5
38,1
39,9
40,6
41,0
42,6
43,4
44,4
45,3
46,5
47,7
48,0
49,8
50,0
51,9
52,5
53,9
54,5
55,7
56,5
57,9
58,3
59,9
60,7
61,3
62,2
63,4
64,4
65,5
66,1
67,3
68,9
69,6
70,6
71,7
72,8
73,6
74,9
75,8
76,1
77,7
78,5
79,1
80,6
81,3
82,2
83,2
84,1
85,0
86,4
87,6
88,5
89,3
90,2
91,2
92,3
93,5
94,0
95,6
96,4
97,3
98,4
99,1
100,8
101,1
102,0
103,7
104,5
105,0
106,7
107,0
108,3
109,6
110,4
111,4
112,6
113,5
114,3
115,2
116,5
117,0
118,0
119,2
120,7
121,9
122,6
123,2
124,1
125,2
126,6
127,9
128,2
129,7
130,9
131,3
132,1
133,1
134,3
135,5
136,7
137,6
138,9
139,4
140,8
141,6
142,5
143,9
144,2
145,5
146,2
147,6
148,3
149,1
150,4
151,4
152,7
153,0
154,8
155,4
156,2
157,8
158,8
159,7
160,8
161,3
162,2
163,1
164,8
165,0
166,5
167,1
168,5
169,3
170,7
171,5
172,9
173,5
174,5
175,4
176,0
177,1
178,6
179,9
180,1
181,9
182,9
183,5
184,4
185,0
186,1
187,2
188,2
189,0
190,5
191,1
192,2
193,6
194,1
195,9
196,9
197,1
198,7
199,4
